Seed,Fold,Baseline,Topk,Explainer,Lambda_1,Lambda_2,Accuracy,Comprehensiveness,Cross Entropy,Log Odds,Sufficiency
42,0,Average,0.1,augmented_occlusion,1.0,1.0,0.815,0.1024,0.4439,-0.1708,0.07814
42,0,Average,0.1,occlusion,1.0,1.0,0.825,0.109,0.4487,-0.1755,0.07917
42,0,Average,0.1,retain,1.0,1.0,0.9,0.03791,0.3386,-0.06547,0.1527
42,0,Average,0.2,deep_lift,1.0,1.0,0.74,0.1571,0.5338,-0.2606,0.04613
42,0,Average,0.2,dyna_mask,1.0,1.0,0.42,0.3157,1.026,-0.7524,-0.0433
42,0,Average,0.2,extremal_mask,1.0,1.0,0.35,0.3613,1.031,-0.758,-0.1365
42,0,Average,0.2,fit,1.0,1.0,0.9,0.04249,0.3446,-0.07141,0.1323
42,0,Average,0.2,gradient_shap,1.0,1.0,0.72,0.1641,0.5504,-0.2772,0.04145
42,0,Average,0.2,integrated_gradients,1.0,1.0,0.735,0.157,0.5337,-0.2605,0.0507
42,0,Average,0.2,lime,1.0,1.0,0.825,0.09399,0.4301,-0.157,0.07963
42,0,Average,0.2,augmented_occlusion,1.0,1.0,0.735,0.1489,0.5268,-0.2537,0.04801
42,0,Average,0.2,occlusion,1.0,1.0,0.75,0.1575,0.5381,-0.2649,0.04581
42,0,Average,0.2,retain,1.0,1.0,0.84,0.07122,0.3912,-0.118,0.1136
42,0,Average,0.3,deep_lift,1.0,1.0,0.66,0.1823,0.5914,-0.3183,0.02275
42,0,Average,0.3,dyna_mask,1.0,1.0,0.42,0.3308,1.107,-0.8334,-0.05008
42,0,Average,0.3,extremal_mask,1.0,1.0,0.365,0.346,0.9877,-0.7146,-0.1268
42,0,Average,0.3,fit,1.0,1.0,0.875,0.06484,0.3767,-0.1036,0.1044
42,0,Average,0.3,gradient_shap,1.0,1.0,0.695,0.1863,0.5961,-0.323,0.02001
42,0,Average,0.3,integrated_gradients,1.0,1.0,0.645,0.1814,0.5929,-0.3198,0.02652
42,0,Average,0.3,lime,1.0,1.0,0.8,0.1014,0.4437,-0.1706,0.07323
42,0,Average,0.3,augmented_occlusion,1.0,1.0,0.725,0.1568,0.5472,-0.274,0.04133
42,0,Average,0.3,occlusion,1.0,1.0,0.71,0.1757,0.5817,-0.3085,0.03084
42,0,Average,0.3,retain,1.0,1.0,0.8,0.09786,0.431,-0.1579,0.09048
42,0,Average,0.4,deep_lift,1.0,1.0,0.655,0.1943,0.6169,-0.3437,0.0131
42,0,Average,0.4,dyna_mask,1.0,1.0,0.42,0.3304,1.105,-0.8322,-0.05017
42,0,Average,0.4,extremal_mask,1.0,1.0,0.425,0.3192,0.932,-0.6589,-0.1224
42,0,Average,0.4,fit,1.0,1.0,0.83,0.0945,0.4324,-0.1592,0.07417
42,0,Average,0.4,gradient_shap,1.0,1.0,0.66,0.1944,0.6155,-0.3424,0.01109
42,0,Average,0.4,integrated_gradients,1.0,1.0,0.67,0.1931,0.616,-0.3429,0.0159
42,0,Average,0.4,lime,1.0,1.0,0.745,0.1269,0.4868,-0.2137,0.06983
42,0,Average,0.4,augmented_occlusion,1.0,1.0,0.695,0.1729,0.581,-0.3078,0.02978
42,0,Average,0.4,occlusion,1.0,1.0,0.705,0.1837,0.5993,-0.3262,0.02097
42,0,Average,0.4,retain,1.0,1.0,0.785,0.1216,0.4734,-0.2003,0.06669
42,0,Average,0.5,deep_lift,1.0,1.0,0.67,0.1871,0.6038,-0.3307,0.0111
42,0,Average,0.5,dyna_mask,1.0,1.0,0.41,0.3321,1.108,-0.8347,-0.05159
42,0,Average,0.5,extremal_mask,1.0,1.0,0.475,0.2752,0.8224,-0.5492,-0.114
42,0,Average,0.5,fit,1.0,1.0,0.785,0.1163,0.4703,-0.1972,0.0573
42,0,Average,0.5,gradient_shap,1.0,1.0,0.67,0.1929,0.6066,-0.3334,0.007951
42,0,Average,0.5,integrated_gradients,1.0,1.0,0.66,0.1902,0.6053,-0.3322,0.01152
42,0,Average,0.5,lime,1.0,1.0,0.645,0.1814,0.6025,-0.3294,0.06109
42,0,Average,0.5,augmented_occlusion,1.0,1.0,0.715,0.181,0.6076,-0.3345,0.01934
42,0,Average,0.5,occlusion,1.0,1.0,0.695,0.1843,0.6084,-0.3353,0.01273
42,0,Average,0.5,retain,1.0,1.0,0.78,0.1315,0.4923,-0.2192,0.05563
42,0,Average,0.6,deep_lift,1.0,1.0,0.675,0.1845,0.593,-0.3199,0.008008
42,0,Average,0.6,dyna_mask,1.0,1.0,0.41,0.333,1.108,-0.8351,-0.05246
42,0,Average,0.6,extremal_mask,1.0,1.0,0.49,0.2668,0.799,-0.5259,-0.1132
42,0,Average,0.6,fit,1.0,1.0,0.755,0.1255,0.4867,-0.2135,0.05156
42,0,Average,0.6,gradient_shap,1.0,1.0,0.685,0.1824,0.5876,-0.3144,0.009706
42,0,Average,0.6,integrated_gradients,1.0,1.0,0.64,0.1874,0.5979,-0.3248,0.009581
42,0,Average,0.6,lime,1.0,1.0,0.63,0.1824,0.602,-0.3288,0.06064
42,0,Average,0.6,augmented_occlusion,1.0,1.0,0.705,0.1777,0.6033,-0.3301,0.01444
42,0,Average,0.6,occlusion,1.0,1.0,0.665,0.182,0.597,-0.3239,0.008406
42,0,Average,0.6,retain,1.0,1.0,0.735,0.1424,0.5096,-0.2365,0.03962
42,0,Zeros,0.1,deep_lift,1.0,1.0,0.84,0.1079,0.4476,-0.1744,0.1674
42,0,Zeros,0.1,dyna_mask,1.0,1.0,0.49,0.2824,0.8421,-0.5689,-0.002747
42,0,Zeros,0.1,extremal_mask,1.0,1.0,0.11,0.4538,1.229,-0.9563,-0.1553
42,0,Zeros,0.1,fit,1.0,1.0,0.95,0.02756,0.3164,-0.04325,0.2409
42,0,Zeros,0.1,gradient_shap,1.0,1.0,0.815,0.1288,0.4806,-0.2075,0.1401
42,0,Zeros,0.1,integrated_gradients,1.0,1.0,0.835,0.118,0.464,-0.1909,0.1556
42,0,Zeros,0.1,lime,1.0,1.0,0.86,0.0706,0.3869,-0.1137,0.1902
42,0,Zeros,0.1,augmented_occlusion,1.0,1.0,0.8,0.1223,0.473,-0.1999,0.1514
42,0,Zeros,0.1,occlusion,1.0,1.0,0.82,0.1255,0.4742,-0.2011,0.1507
42,0,Zeros,0.1,retain,1.0,1.0,0.885,0.04593,0.3512,-0.07805,0.2467
42,0,Zeros,0.2,deep_lift,1.0,1.0,0.675,0.1814,0.5819,-0.3087,0.1095
42,0,Zeros,0.2,dyna_mask,1.0,1.0,0.39,0.3538,1.09,-0.8172,-0.02657
42,0,Zeros,0.2,extremal_mask,1.0,1.0,0.1,0.4606,1.242,-0.9685,-0.1533
42,0,Zeros,0.2,fit,1.0,1.0,0.905,0.06042,0.3653,-0.09217,0.1943
42,0,Zeros,0.2,gradient_shap,1.0,1.0,0.66,0.1945,0.6088,-0.3357,0.1
42,0,Zeros,0.2,integrated_gradients,1.0,1.0,0.665,0.1798,0.5789,-0.3058,0.1141
42,0,Zeros,0.2,lime,1.0,1.0,0.79,0.1076,0.4468,-0.1737,0.154
42,0,Zeros,0.2,augmented_occlusion,1.0,1.0,0.68,0.1863,0.5862,-0.3131,0.112
42,0,Zeros,0.2,occlusion,1.0,1.0,0.705,0.1825,0.5868,-0.3136,0.1042
42,0,Zeros,0.2,retain,1.0,1.0,0.82,0.08589,0.4118,-0.1387,0.1935
42,0,Zeros,0.3,deep_lift,1.0,1.0,0.63,0.2131,0.6444,-0.3713,0.07752
42,0,Zeros,0.3,dyna_mask,1.0,1.0,0.38,0.3651,1.131,-0.8581,-0.03138
42,0,Zeros,0.3,extremal_mask,1.0,1.0,0.08,0.4494,1.193,-0.9198,-0.1435
42,0,Zeros,0.3,fit,1.0,1.0,0.895,0.09269,0.4087,-0.1355,0.1503
42,0,Zeros,0.3,gradient_shap,1.0,1.0,0.63,0.2268,0.6713,-0.3982,0.07038
42,0,Zeros,0.3,integrated_gradients,1.0,1.0,0.62,0.2159,0.6555,-0.3824,0.0833
42,0,Zeros,0.3,lime,1.0,1.0,0.8,0.1127,0.4569,-0.1838,0.1448
42,0,Zeros,0.3,augmented_occlusion,1.0,1.0,0.685,0.196,0.6089,-0.3358,0.09383
42,0,Zeros,0.3,occlusion,1.0,1.0,0.64,0.2085,0.6368,-0.3636,0.07963
42,0,Zeros,0.3,retain,1.0,1.0,0.75,0.1163,0.4592,-0.186,0.1468
42,0,Zeros,0.4,deep_lift,1.0,1.0,0.56,0.2364,0.6871,-0.414,0.05549
42,0,Zeros,0.4,dyna_mask,1.0,1.0,0.38,0.3652,1.129,-0.8557,-0.03145
42,0,Zeros,0.4,extremal_mask,1.0,1.0,0.175,0.4145,1.092,-0.8189,-0.1367
42,0,Zeros,0.4,fit,1.0,1.0,0.805,0.1361,0.4795,-0.2063,0.1105
42,0,Zeros,0.4,gradient_shap,1.0,1.0,0.565,0.2473,0.7086,-0.4354,0.0504
42,0,Zeros,0.4,integrated_gradients,1.0,1.0,0.58,0.2345,0.6887,-0.4156,0.06078
42,0,Zeros,0.4,lime,1.0,1.0,0.745,0.1459,0.506,-0.2328,0.137
42,0,Zeros,0.4,augmented_occlusion,1.0,1.0,0.64,0.2195,0.6568,-0.3837,0.07163
42,0,Zeros,0.4,occlusion,1.0,1.0,0.6,0.2244,0.6619,-0.3887,0.06132
42,0,Zeros,0.4,retain,1.0,1.0,0.7,0.1543,0.5242,-0.2511,0.1064
42,0,Zeros,0.5,deep_lift,1.0,1.0,0.605,0.2392,0.6842,-0.411,0.04098
42,0,Zeros,0.5,dyna_mask,1.0,1.0,0.38,0.3671,1.131,-0.8578,-0.03303
42,0,Zeros,0.5,extremal_mask,1.0,1.0,0.31,0.3708,0.9611,-0.688,-0.1289
42,0,Zeros,0.5,fit,1.0,1.0,0.765,0.1641,0.5245,-0.2514,0.0832
42,0,Zeros,0.5,gradient_shap,1.0,1.0,0.585,0.2536,0.7031,-0.43,0.03263
42,0,Zeros,0.5,integrated_gradients,1.0,1.0,0.59,0.2455,0.6947,-0.4216,0.04085
42,0,Zeros,0.5,lime,1.0,1.0,0.575,0.2397,0.6452,-0.372,0.123
42,0,Zeros,0.5,augmented_occlusion,1.0,1.0,0.6,0.2301,0.6753,-0.4022,0.05912
42,0,Zeros,0.5,occlusion,1.0,1.0,0.6,0.2385,0.6851,-0.4119,0.04087
